Time (years),sun Energy (J),mercury Energy (J),venus Energy (J),earth Energy (J),mars Energy (J),jupiter Energy (J),saturn Energy (J),uranus Energy (J),neptune Energy (J),System Total (J)
0.0,-3.9701899571996194e+35,-4.109208724360039e+32,-3.010068094937462e+33,-2.654798794790273e+33,-1.9170513503222383e+32,-1.6239754689960176e+35,-2.665126702455204e+34,-1.9425067237837772e+33,-1.5037593966974423e+33,-5.957815686617929e+35
0.1,-3.96874147294153e+35,-3.61713761282401e+32,-2.947850781724769e+33,-2.633904080236532e+33,-1.9127902087864136e+32,-1.6238897514306497e+35,-2.665081072356432e+34,-1.9425023018140122e+33,-1.5037583838887216e+33,-5.9549494149060746e+35
0.2,-3.9662908721788484e+35,-3.348810448473128e+32,-2.8885480736720783e+33,-2.613297798050367e+33,-1.9085829566520044e+32,-1.623815724978328e+35,-2.6649948076255733e+34,-1.9424935250784114e+33,-1.5037562588363786e+33,-5.95134442788123e+35
0.3,-3.963979001962499e+35,-3.158773555126649e+32,-2.834929211526629e+33,-2.5931252246830826e+33,-1.9044237480489973e+32,-1.623753796647828e+35,-2.6648699562066957e+34,-1.9424805440813244e+33,-1.5037530587550107e+33,-5.9480258719246335e+35
0.4,-3.9615743235490885e+35,-2.960942061924104e+32,-2.787758339034256e+33,-2.5735624421499536e+33,-1.900286505296005e+32,-1.623703273584966e+35,-2.6647091188006847e+34,-1.9424634846402712e+33,-1.5037488068195817e+33,-5.944685068307784e+35
0.5,-3.95910495853853e+35,-2.808877887272948e+32,-2.7455224824808456e+33,-2.5547662685467522e+33,-1.8961465495203284e+32,-1.6236637320072945e+35,-2.664515983176706e+34,-1.942442574413469e+33,-1.503743553169247e+33,-5.941390062086392e+35
0.6,-3.9575519028616185e+35,-2.7121407372465595e+32,-2.705956136183825e+33,-2.5368203859573482e+33,-1.8919856842984582e+32,-1.6236350222827084e+35,-2.6642950243222206e+34,-1.94241811205921e+33,-1.5037373651428927e+33,-5.9391098739915255e+35
0.7000000000000001,-3.9569122014745124e+35,-2.629194407289227e+32,-2.667205781330125e+33,-2.5197295408125856e+33,-1.8877921500769175e+32,-1.6236167224581731e+35,-2.664050964613358e+34,-1.942390413668524e+33,-1.5037303130217708e+33,-5.937781567439716e+35
0.8,-3.956401762673906e+35,-2.535388162629171e+32,-2.628537490553817e+33,-2.5034200626503561e+33,-1.8835639282817857e+32,-1.6236079904258284e+35,-2.6637887440370542e+34,-1.9423598546890242e+33,-1.503722485038262e+33,-5.9365879785236654e+35
0.9,-3.955149144456502e+35,-2.4407405049338288e+32,-2.5906070318813018e+33,-2.4877608434931072e+33,-1.87930998611864e+32,-1.6236089703114796e+35,-2.663513724230658e+34,-1.9423268993863384e+33,-1.5037139946673342e+33,-5.93467362537638e+35
